epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,81.1653,1.18102,3.33408,1.21828,1,0.35417,0.91673,0.6753,1.01103,2.86552,1.04137,0.000410959,0.000410959,0.000410959
2,162.318,1.16809,2.53184,1.18707,0.88045,0.94817,0.96023,0.60725,1.17433,1.87323,1.11976,0.000745691,0.000745691,0.000745691
3,244.509,1.19832,2.23934,1.19732,0.90152,0.97911,0.97371,0.65228,1.22517,1.49376,1.19265,0.000997922,0.000997922,0.000997922
4,327.293,1.17976,1.98436,1.19567,0.9215,0.96452,0.973,0.68947,1.10873,1.53137,1.19281,0.00087875,0.00087875,0.00087875
5,410.633,1.13512,1.7138,1.15163,0.98643,0.98007,0.98175,0.69711,1.07702,1.14311,1.12706,0.000755,0.000755,0.000755
6,490.241,1.0912,1.51632,1.11675,0.96661,0.9771,0.98344,0.7081,1.07242,1.12552,1.16515,0.00063125,0.00063125,0.00063125
7,570.027,1.02927,1.34434,1.10067,0.97836,0.99123,0.98258,0.74037,0.97553,0.99811,1.1257,0.0005075,0.0005075,0.0005075
8,650.158,0.99229,1.19457,1.07292,0.96697,0.96952,0.98671,0.75473,0.95015,0.93829,1.06549,0.00038375,0.00038375,0.00038375
9,731.103,0.95431,1.13658,1.05164,0.97911,0.98722,0.98356,0.76104,0.90791,0.87406,1.07075,0.00026,0.00026,0.00026
10,810.692,0.90937,1.04037,1.04953,0.99056,0.98814,0.98996,0.78289,0.88209,0.86164,1.03421,0.00013625,0.00013625,0.00013625
