epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,32.9147,1.27339,3.13689,1.20942,0.0072,1,0.87866,0.55631,1.05629,3.48169,0.9821,0.00028886,0.00028886,0.00028886
2,62.8348,1.2271,1.87806,1.1788,0.97497,0.06969,0.77247,0.45573,1.16008,3.52557,1.0713,0.000588794,0.000588794,0.000588794
3,92.5935,1.26218,1.60138,1.20566,0.43127,0.29847,0.43235,0.22525,1.376,3.33973,1.28862,0.000888583,0.000888583,0.000888583
4,122.669,1.22956,1.52501,1.19389,0.77644,0.81615,0.86847,0.52699,1.21679,2.08369,1.1797,0.00111039,0.00111039,0.00111039
5,152.4,1.23428,1.43111,1.19503,0.95374,0.66474,0.84163,0.56597,1.1453,1.91182,1.12868,0.00110991,0.00110991,0.00110991
6,182.608,1.24424,1.31783,1.2128,0.85729,0.91667,0.94591,0.5517,1.25138,1.50761,1.29696,0.0011093,0.0011093,0.0011093
7,213.361,1.19902,1.16902,1.19096,0.84472,0.86415,0.91159,0.58595,1.18283,1.36015,1.22551,0.00110856,0.00110856,0.00110856
8,244.056,1.19762,1.07789,1.18168,0.91303,0.82286,0.89147,0.59043,1.19551,1.26124,1.20573,0.00110768,0.00110768,0.00110768
9,274.432,1.17366,1.00959,1.16333,0.97469,0.96543,0.99195,0.62599,1.14062,0.98634,1.1869,0.00110666,0.00110666,0.00110666
10,304.031,1.18283,0.99009,1.19606,0.92413,0.9119,0.96513,0.63213,1.12799,1.043,1.21254,0.00110551,0.00110551,0.00110551
11,333.285,1.16797,0.93738,1.18609,0.92367,0.72707,0.91531,0.5917,1.12733,1.24413,1.17394,0.00110423,0.00110423,0.00110423
12,362.409,1.15278,0.89484,1.15251,0.92044,0.85993,0.95535,0.6372,1.07868,0.87852,1.13897,0.00110281,0.00110281,0.00110281
13,391.643,1.15248,0.88815,1.17381,0.9671,0.98017,0.98984,0.68599,1.07395,0.71003,1.14511,0.00110126,0.00110126,0.00110126
14,420.62,1.15955,0.8557,1.16041,0.93325,0.89338,0.97295,0.67089,1.0468,0.82353,1.13744,0.00109957,0.00109957,0.00109957
15,449.493,1.14318,0.81218,1.15815,0.93115,0.95239,0.97217,0.65025,1.1348,0.78399,1.17313,0.00109776,0.00109776,0.00109776
16,478.182,1.12163,0.78989,1.15804,0.89331,0.87266,0.94485,0.61182,1.04969,0.75736,1.17392,0.0010958,0.0010958,0.0010958
17,507.111,1.08514,0.78136,1.14249,0.97321,0.9881,0.98682,0.66799,1.04998,0.74749,1.14787,0.00109372,0.00109372,0.00109372
18,536.225,1.07631,0.74384,1.13795,0.9711,0.90647,0.94454,0.62065,1.1313,0.68808,1.17288,0.00109151,0.00109151,0.00109151
19,565.233,1.0892,0.7588,1.1384,0.88467,0.94415,0.97673,0.6291,1.10738,0.75655,1.20058,0.00108916,0.00108916,0.00108916
20,594.51,1.08384,0.72933,1.13523,0.98848,0.90384,0.98518,0.66446,1.0616,0.66014,1.14579,0.00108669,0.00108669,0.00108669
21,624.004,1.09676,0.73303,1.12689,0.97511,0.8881,0.975,0.64808,1.0697,0.6405,1.15323,0.00108408,0.00108408,0.00108408
22,653.538,1.05376,0.7061,1.11271,0.9284,0.99316,0.98821,0.63445,1.07763,0.61613,1.17657,0.00108135,0.00108135,0.00108135
23,717.956,1.07584,0.72596,1.14576,0.96287,0.98565,0.98341,0.65614,1.07404,0.58147,1.14943,0.00107849,0.00107849,0.00107849
24,747.41,1.08272,0.72431,1.15763,0.95003,0.99583,0.99189,0.66107,1.11647,0.6231,1.20406,0.0010755,0.0010755,0.0010755
25,776.768,1.09949,0.71816,1.15357,0.95148,0.88486,0.96359,0.65141,1.06612,0.66204,1.16486,0.00107238,0.00107238,0.00107238
26,806.31,1.0711,0.68594,1.14297,0.96997,0.95412,0.99219,0.66345,1.059,0.63593,1.16958,0.00106914,0.00106914,0.00106914
27,835.439,1.07344,0.70395,1.13464,0.98499,0.987,0.98652,0.6984,0.94131,0.54208,1.11041,0.00106577,0.00106577,0.00106577
28,865.131,1.04961,0.6737,1.13674,0.88826,0.98441,0.97144,0.64937,1.05782,0.57277,1.18229,0.00106228,0.00106228,0.00106228
29,894.304,1.04064,0.66076,1.1203,0.92277,0.94785,0.974,0.65814,1.06329,0.60114,1.15753,0.00105866,0.00105866,0.00105866
30,923.439,1.00533,0.65818,1.10687,0.91066,0.90293,0.92951,0.62708,1.04039,0.62194,1.14892,0.00105492,0.00105492,0.00105492
31,952.441,1.01487,0.65406,1.09343,0.96865,0.89286,0.97096,0.66371,0.99755,0.60303,1.10737,0.00105106,0.00105106,0.00105106
32,981.68,1.02088,0.64336,1.11749,0.93098,0.85714,0.91854,0.61552,1.01032,0.59689,1.12555,0.00104708,0.00104708,0.00104708
33,1123.46,0.97914,0.60967,1.08663,0.94504,0.97998,0.99292,0.67985,1.04838,0.50969,1.15283,0.00104298,0.00104298,0.00104298
34,1152.62,1.01343,0.63479,1.10996,0.95138,0.92857,0.98331,0.67971,1.01638,0.56212,1.12562,0.00103875,0.00103875,0.00103875
35,1181.69,1.02569,0.64194,1.10794,0.95078,0.9834,0.99393,0.68523,1.01281,0.52031,1.12728,0.00103442,0.00103442,0.00103442
36,1210.93,1.02773,0.62475,1.1158,0.97829,0.9881,0.985,0.67702,1.01015,0.49137,1.14119,0.00102996,0.00102996,0.00102996
37,1239.83,0.99804,0.59422,1.09402,0.98353,0.97619,0.9713,0.67227,1.02318,0.50736,1.15288,0.00102539,0.00102539,0.00102539
38,1269.04,0.99266,0.61591,1.10441,0.97913,0.90476,0.98497,0.63705,1.06257,0.52963,1.17575,0.0010207,0.0010207,0.0010207
39,1297.99,0.97172,0.58846,1.08381,0.93042,0.87553,0.92354,0.64583,1,0.60407,1.13088,0.0010159,0.0010159,0.0010159
40,1327.09,0.96743,0.60136,1.07464,0.96067,0.99205,0.99096,0.70577,0.99232,0.50346,1.12239,0.00101099,0.00101099,0.00101099
41,1356.27,0.96448,0.5936,1.07224,0.98634,0.9927,0.99052,0.68395,1.03694,0.48326,1.12178,0.00100597,0.00100597,0.00100597
42,1385.32,0.97897,0.59221,1.07704,0.92944,0.89589,0.96223,0.64492,1.09817,0.58142,1.17072,0.00100084,0.00100084,0.00100084
43,1414.57,0.9871,0.6052,1.09955,0.98735,0.98651,0.995,0.65505,1.04267,0.49413,1.17663,0.000995597,0.000995597,0.000995597
44,1443.74,0.96801,0.56773,1.08565,0.97305,0.99874,0.99305,0.64655,1.13514,0.48728,1.19468,0.000990249,0.000990249,0.000990249
45,1472.81,0.97405,0.58928,1.0831,0.97808,0.98186,0.98369,0.69342,1.06108,0.51811,1.14438,0.000984795,0.000984795,0.000984795
46,1502.03,0.97797,0.58937,1.09933,0.99593,0.98393,0.98492,0.68983,1.02199,0.49357,1.13836,0.000979236,0.000979236,0.000979236
47,1531.2,0.93771,0.57609,1.08007,0.95667,0.95238,0.98914,0.68396,1.0213,0.53339,1.17827,0.000973575,0.000973575,0.000973575
48,1560.41,0.97351,0.58756,1.09541,0.97905,1,0.99496,0.69499,1.02543,0.46965,1.14006,0.000967811,0.000967811,0.000967811
49,1589.54,0.9206,0.55575,1.06868,0.96262,0.89286,0.9381,0.64544,1.00582,0.54942,1.13339,0.000961948,0.000961948,0.000961948
50,1618.78,0.9508,0.57235,1.10577,0.94089,0.9881,0.98409,0.6673,1.07984,0.4786,1.15886,0.000955985,0.000955985,0.000955985
51,1647.86,0.921,0.56164,1.0728,0.9563,0.92826,0.995,0.68944,1.01283,0.48916,1.14927,0.000949925,0.000949925,0.000949925
52,1676.84,0.9318,0.55636,1.08777,0.99406,0.89787,0.99348,0.68243,1.0709,0.49904,1.16407,0.000943769,0.000943769,0.000943769
53,1705.95,0.94606,0.56731,1.08621,0.90979,0.9755,0.98319,0.68878,0.98196,0.45534,1.13973,0.000937518,0.000937518,0.000937518
54,1735.06,0.92841,0.5452,1.07817,0.99661,0.89686,0.96164,0.67385,1.02148,0.52203,1.14693,0.000931175,0.000931175,0.000931175
55,1763.58,0.91096,0.54578,1.06769,0.99571,0.90275,0.97464,0.66607,0.98356,0.46283,1.14198,0.00092474,0.00092474,0.00092474
56,1793.09,0.93743,0.55376,1.08098,0.99086,0.97825,0.99417,0.70267,0.96306,0.45183,1.1269,0.000918216,0.000918216,0.000918216
